title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
Minimata Mahtari Jatan Yojana,,"['Health & Wellness', 'Women and Child']","The Labor Department of Chhattisgarh started this scheme on March 4, 2010, under the ""Building and Construction Workers Welfare Board"" for female construction workers. Under the scheme registered female construction workers will receive benefits during pregnancy.",,,bpsy,"['Financial Assistance', 'Pregnancy Care', 'Women Wellness', 'Child Care', 'Construction Workers']",Search
Miscarriage Benefit ,,"['Social welfare & Empowerment', 'Women and Child', 'Health & Wellness']","The ""Miscarriage Benefit'' scheme by the BOCW Welfare Board, Labour Department,West Bengal, is a welfare scheme that provides financial benefits for miscarriage up to two times in a lifetime to the eligible female beneficiaries or the wives of male beneficiaries.
",,,mbbwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Miscarriage', 'Women']",Search
Mobile Lab Scheme (P.B.O.C.W.W.B),,['Health & Wellness'],"The ""Mobile Lab Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides reimbursement of expenditure incurred by the beneficiaries and their dependents for the treatment of silicosis.
",,,mlsp,"['Labour', 'Building Worker', 'Construction Worker', 'Silicosis Diseases', 'Health']",Search
Motor Vehicle Driver-Conductor Welfare Scheme- Pradhanmantri Suraksha Bima Yojana,,"['Health & Wellness', 'Transport & Infrastructure', 'Social welfare & Empowerment']","This scheme provides accident insurance coverage to registered drivers and conductors, offering financial protection in the event of accidental death or permanent disability.",,,mvdcws-pmsby,"['Medical Assistance', 'Death', 'Disability', 'Drivers', 'Conductors']",Search
Motor Vehicle Driver-Conductor Welfare Scheme- Medical Assistance,,"['Health & Wellness', 'Transport & Infrastructure']","The scheme aims to provide healthcare and medical assistance to registered drivers, conductors, and their families. Medical benefits are delivered through existing state health schemes.",,,mvdcws-mda,"['Financial Assistance', 'Medical Treatment', 'Driver', 'Conductor', 'Diseases']",Search
Mukhmantri Sehat Bima Yojana,,['Health & Wellness'],"""AYUSHMAN BHARAT PM-JAY MUKH MANTRI SEHAT BIMA YOJNA” is a flagship State Health Insurance Program of the Government of Punjab. ",,,mmsby,"['Insurance', 'Health', 'Welfare', 'Medical']",Search
Mukhya Mantri Himachal Health Care Scheme-HIMCARE,,['Health & Wellness'],Mukhya Mantri Himachal Health Care Scheme-HIMCARE is a health insurance scheme providing cashless treatment coverage up to Rs. 5.00 lakh per year per family in empanelled hospitals. It aims to cover families not included in the Ayushman Bharat scheme.,,,himcare,"['BPL', 'Health Insurance', 'Cashless Treatment']",Search
Mukhya Mantri Sahara Yojana,,['Health & Wellness'],"The State Government has launched the 'Sahara Scheme' to provide financial assistance of Rs. 3000 per month to the patients belonging to the economically weaker sections of the society, who are suffering from specified diseases such Parkinson, Malignant Cancer, Paralysis etc.",,,mmsy,"['Sahara Yojana', 'DBT Scheme', 'Financial Assistance', 'EWS Scheme', 'Patients']",Search
Mukhyamantri Aanchal Amrit Yojana,,"['Health & Wellness', 'Women and Child']","The scheme aims to improve the health of children between 3 to 6 years of age by providing them fortified and flavored milk containing Vitamins A and D, four days a week, at Anganwadi Centres.",,,maayu,"['Childcare', 'Fortified Milk', 'Health', 'Flavoured Milk', 'Anganwadi Centre']",Search
Mukhyamantri Abua Swasthya Suraksha Yojana,,['Health & Wellness'],"The ""Mukhyamantri Abua Swasthya Suraksha Yojana"" by the Department of Health and Family Welfare, Govt. of Jharkhand aims to provide quality healthcare services to eligible families. Beneficiaries receive ₹15,00,000/- per family per year as health insurance coverage for advanced medical treatments. ",,,massy,"['Healthcare', 'Families', 'Medical Treatments']",Search
Mukhyamantri Anusuchit Janjati Gram Vikas Yojana,,"['Social welfare & Empowerment', 'Health & Wellness', 'Skills & Employment']","The scheme ""Mukhyamantri Anusuchit Janjati Gram Vikas Yojana"" by the Welfare Department, Govt. of Jharkhand, aims to uplift Scheduled Tribe communities through education, health, & economic initiatives. Financial grants, equipment, & training programs are provided for holistic village development.",,,majgvy,"['Financial Assistance', 'Opportunity', 'Training', 'Healthcare', 'SHGs']",Search
Mahatma Jyotirao Phule Jan Arogya Yojana,,['Health & Wellness'],"The Mahatma Jyotirao Phule Jan Arogya Yojana, launched by the Government of Maharashtra, offers cashless treatment for identified diseases through a network of government and private healthcare providers.",,,mjpjay,"['Hospital', 'Health Insurance', 'Cashless Service', 'Diseases', 'Hospital']",Search
Mamta Taruni Abhiyan,,"['Health & Wellness', 'Women and Child']","""Mamta Taruni Abhiyan"" was a program launched in Gujarat, India, aimed at providing healthcare facilities to adolescent girls and pregnant women in rural areas. The program was launched by the Gujarat state government in 2010.",,,mta,"['Mamta', 'Taruni', 'Abhiyan', 'Healthcare']",Search
Maternity Benefit,,"['Social welfare & Empowerment', 'Health & Wellness', 'Women and Child']","The ""Maternity Benefit'' scheme by the BOCW Welfare Board, Labour Department,West Bengal, is a welfare scheme that provides maternity benefits up to two times in a lifetime to the eligible female beneficiaries or the wives of male beneficiaries.
",,,mbwb,"['Labour', 'Building Worker', 'Construction Worker', 'Maternity', 'Pregnancy Care', 'Women']",Search
Maternity Assistance for the Construction Workers,,"['Health & Wellness', 'Social welfare & Empowerment', 'Women and Child']","The ""Maternity Assistance for the Construction Workers"" by the Delhi Building and Other Construction Workers Welfare Board, Labour Department, Delhi, is a welfare scheme  that provides maternity benefits of ₹ 30,000/- to the registered women members and wives of male members for upto 2 children.
",,,mafcw,"['Labour', 'Medical Support', 'Construction Workers', 'Maternity', 'Financial Assistance']",Search
Maternity Assistance Scheme (PBAOCWWB),,"['Women and Child', 'Health & Wellness']","The ""Maternity Assistance"" is a Welfare Scheme by the Puducherry Building and Other Construction Workers Welfare Board, Labour Department, Union Territory of Puducherry. Through this scheme, the women employees who are beneficiary of the fund shall be given ₹5,000/- each as maternity benefit.",,,mat-pbaocwwb,"['Maternity', 'Pregnant', 'Financial Assistance', 'Construction', 'Worker', 'DBT']",Search
Maternity Benefit For Female Workers- JKBOCWWB,,"['Social welfare & Empowerment', 'Health & Wellness', 'Women and Child']","The ""Maternity Benefit for Female Workers"" scheme by the JKBOCW Welfare Board, Labour Department, Jammu & Kashmir, is a welfare program that provides maternity benefits to eligible registered female workers up to two times in their lifetime.",,,mbffwjkbocwwb,"['Building Worker', 'Construction Worker', 'Labour', 'Maternity', 'Pregnancy Care', 'Women']",Search
Maternity Benefit (O.B.O.C.W.W.B),,"['Health & Wellness', 'Women and Child']","The “Maternity Benefit” scheme by the BOCW Welfare Board, Labour Department, Odisha, is a welfare scheme that provides maternity benefits to the female beneficiaries subject to a maximum of two children who  are registered beneficiaries for a period of more than one year under the board.
",,,mbobocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Maternity', 'Pregnancy Care', 'Women', 'Child Delivery']",Search
Maternity Benefit Scheme (APB&OCWWB),,"['Health & Wellness', 'Social welfare & Empowerment', 'Women and Child']",The Govt. of Arunachal Pradesh has proposed and implemented the scheme “Maternity Benefit Scheme” for Registered Workers of Arunachal Pradesh Building & Other Construction Workers Welfare Board (APB&OCWWB).,,,mbsapbandocwwb,"['Women', 'Maternity', 'Construction Worker', 'Cash Assistance']",Search
Maternity Benefit Scheme (P.B.O.C.W.W.B),,['Health & Wellness'],"The ""Maternity Benefit Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides financial assistance to the female construction workers and spouse of the male workers to support childbirth-related expenses maximum for two living children.",,,mbspbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Women', 'Maternity Benefit', 'Pregnancy']",Search
Maternity Benefit/Delivery Assistance (K.B.O.C.W.W.B),,"['Health & Wellness', 'Women and Child']","The ""Maternity Benefit/Delivery Assistance'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial assistance to registered women construction workers for the birth of upto two (2) children.

",,,mbdakbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Medical Assistance', 'Maternity', 'Delivery', 'Women']",Search
Maternity Benefit for Women Beneficiaries,,"['Women and Child', 'Health & Wellness']","The ""Maternity Benefit for Women Beneficiaries"" scheme under the Nagaland Building and Other Construction Workers' Welfare Board provides financial assistance to pregnant women registered as beneficiaries and wives of registered beneficiaries. The assistance can be availed up to two times. ",,,mbfwb,"['Financial Assistance', 'Women', 'Pregnancy', 'Construction Worker']",Search
Maternity Benefits Scheme (BBOCWWB),,"['Women and Child', 'Social welfare & Empowerment', 'Health & Wellness']","""Maternity Benefits Scheme"" provides an amount equivalent to 90 days of the minimum wages set by the State Govt. for unskilled workers at the time of childbirth. The applicant should be a female construction worker who has completed one year of membership with the Board.",,,mbsbbocwwb,"['Construction', 'Building', 'Woman', 'Labour', 'Maternity', 'Worker']",Search
Matrutva Prasuvidha Yojana,,['Health & Wellness'],"""Matrutva Prasuvidha Yojana"" is a Medical Assistance scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides financial assistance of ₹ 15,000/- for the first two deliveries of the registered female worker.",,,mpy,"['Pregnancy', 'Women', 'Hospitalization']",Search
Medical Assistance (ANBOCWWB),,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme provides medical assistance to the Building & Other Construction Workers, who are registered under the A&N Islands Building and Other Construction Workers Welfare Board, and his/her dependents' family members during hospitalization due to accident or illness.",,,maanbocwwb,"['Medical Assistance', 'Building Worker', 'Construction Worker', 'Labour', 'Hospital']",Search
Medical Assistance (A.B.O.C.W.W.B),,"['Health & Wellness', 'Social welfare & Empowerment']","Medical assistance shall be provided to Building & Other Construction Workers who are registered under A.B.O.C.W.W.B. during hospitalization, partial disability & for critical diseases such as Cancer, Heart attack, Failure of kidney, Liver cirrhosis etc. as per the decision of the Board.",,,ma-abocwwb,"['Medical', 'Construction Worker', 'Hospital', 'Partial Disability', 'Critical Diseases', 'Labour']",Search
Medical Assistance (MBOCWWB),,"['Health & Wellness', 'Social welfare & Empowerment']",The scheme provides financial assistance to registered construction workers who are hospitalized for five or more days due to an accident or any disease.,,,mambocwwb,"['Medical', 'Building Worker', 'Construction Worker', 'Financial Assistance', 'Labour', 'Accident', 'Disease']",Search
Medical Aid Scheme (Ayushman Bharat Scheme 'Niramaya') (MPBOCWWB),,['Health & Wellness'],"The ""Medical Aid Scheme (Ayushman Bharat Scheme 'Niramaya')"" under the Labour Department, Government of Madhya Pradesh, provides free medical treatment up to ₹5,00,000/- per year to the registered workers and their families in approved hospitals.",,,masabsn,"['Building', 'Construction', 'Medical', 'Labour', 'Financial Assistance', 'Insurance', 'Worker']",Search
Medical Assistance (NBOCWWB),,['Health & Wellness'],"The ""Medical Assistance"" scheme by the Nagaland Building and Other Construction Workers' Welfare Board provides financial assistance to registered beneficiaries and their family members for hospitalization.",,,manbocwwb,"['Financial Assistance', 'Medical Treatment', 'Construction Worker']",Search
Medical Assistance (Karmika Arogya Bhagya) (K.B.O.C.W.W.B),,['Health & Wellness'],"The ""Medical Assistance (Karmika Arogya Bhagya)'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial assistance to registered construction workers and their dependents for hospitalisation expenses in recognised hospitals.",,,makabbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Medical Assistance', 'Hospitalisation']",Search
Medical Assistance Scheme (PBAOCWWB),,"['Social welfare & Empowerment', 'Health & Wellness']","The ""Medical Assistance"" scheme provides financial assistance to Construction Workers hospitalized for five or more days due to an accident or disease. The financial assistance shall be ₹500/- for the first 5 days and ₹50/- each for the remaining days, subject to a maximum of ₹1,5000/-.",,,mas-pbaocwwb,"['Medical', 'Hospital', 'Financial Assistance', 'Accident', 'Disease', 'Construction', 'Worker']",Search
Medical Assistance (GBOCWWB),,"['Social welfare & Empowerment', 'Health & Wellness']","Through the ""Medical Assistance (GBOCWWB)"" scheme, the worker who is hospitalized for 5 or more days due to an accident or any disease is provided with ₹400/- for the first 5 days and ₹40/- for the remaining days, subject to a maximum ₹2,000/-.",,,ma-gbocwwb,"['Patient', 'Accident', 'Disease', 'Surgery', 'Medical', 'Labour']",Search
Medical Assistance (APB&OCWWB),,['Health & Wellness'],"The scheme “Medical Assistance” was started by the Department of Labour and Employment, Govt. of Arunachal Pradesh for the registered workers of Arunachal Pradesh Building & Other Construction Workers Welfare Board (APB&OCWWB).",,,maapbandocwwb,"['Construction Worker', 'Accident', 'Disease', 'Financial Assistance', 'Medical Assistance']",Search
Medical Assistance and Wage Loss for the Construction Workers,,"['Health & Wellness', 'Social welfare & Empowerment']","The ""Medical Assistance and Wage Loss for the Construction Workers'' by the BOCW Welfare Board, U.T. of DNH & DD, is a welfare scheme that provides medical expenses for injuries sustained during employment and will pay half-monthly wages during the period of disablement to the eligible worker.",,,mawlftcw,"['Labour', 'Medical Assistance', 'Wage Loss', 'Building Worker', 'Construction Worker']",Search
Medical Assistance for the Construction Worker,,"['Social welfare & Empowerment', 'Health & Wellness']","The ""Medical Assistance for the Construction Workers"" by the Sikkim BOCW Welfare Board, Labour Department, is a welfare scheme of the board that provides medical expenses for the treatment of the registered beneficiary and /or his dependents.",,,maftcwsbw,"['Labour', 'Medical Support', 'Construction Workers', 'Financial Assistance']",Search
Medical Expenses for Treatment of Major Ailments (O.B.O.C.W.W.B),,['Health & Wellness'],"The “Medical Expenses for Treatment of Major Ailments” scheme by the BOCW Welfare Board, Labour Department, Odisha, is a welfare scheme that provides financial assistance for the treatment of beneficiary or his/ her dependents suffering from major diseases.
",,,metfmaiso,"['Labour', 'Building Worker', 'Construction Worker', 'Treatment', 'Ailments', 'Surgery', 'Medical Expenses']",Search
Medical Assistance to Beneficiaries (HPBOCWWB),,"['Social welfare & Empowerment', 'Health & Wellness']","The ""Medical Assistance to Beneficiaries"" scheme under the Labour and Employment Department HP, provides financial support for healthcare. It covers ₹50,000 for outdoor treatment, ₹1,00,000 for indoor treatment, and ₹5,00,000 for critical illnesses each year, upon submission of valid medical bills.",,,matbhpbocwwb,"['Building', 'Construction', 'Labour', 'Financial Assistance', 'Medical', 'Worker']",Search
Medical Check-Up facility (UKBOCWWB),,['Health & Wellness'],"The scheme aims to provide medical check-up facilities to registered construction workers through door-to-door visits, health camps, and collection centers.",,,mcuf,"['Labour', 'Building Worker', 'Construction Worker', 'Medical Check-Up', 'Health']",Search
Medical Assistance for the Treatment of Critical Illness,,['Health & Wellness'],"Under this scheme, medical assistance of ₹1,00,000/- for the treatment of serious ailments for registered worker and his/her family members. (the benefit can be availed only after 26th July 2014 as the benefit is covered under the Mediclaim & Personal Accident Insurance scheme).",,,matci,"['Financial Assistance', 'Illness', 'Construction Worker', 'Medical Treatment']",Search
Medical Assistance for the Construction Workers,,"['Health & Wellness', 'Social welfare & Empowerment']","""Medical Assistance for the Construction Workers"" was launched by the Delhi Building and Other Construction Workers Welfare Board, Labour Dept, Delhi. The registered workers are given medical assistance upto ₹ 10,000/- in case of being hospitalized for 5 or more days due to an accident or disease.",,,maftcw,"['Labour', 'Medical Support', 'Construction Workers', 'Hospitalization', 'Financial Assistance', 'Accidental Support']",Search
Medical Termination of Pregnancy Scheme (PULWS),,"['Health & Wellness', 'Women and Child']","The ""Medical Termination of Pregnancy Scheme (PULWS)"" is a Welfare Scheme by the ""Puducherry Unorganised Labourers' Welfare Society"", Labour Department, Union Territory of Puducherry. The Society extends ₹250/- to the member/ spouse of the member for the Medical Termination of Pregnancy.",,,mtp-pulws,"['Abortion', 'Pregnant', 'Medical', 'Hospital', 'Woman']",Search
Medical Expenses-Treatment for Major Ailments Including Surgery,,"['Health & Wellness', 'Social welfare & Empowerment']","""Medical Expenses-Treatment for Major Ailments Including Surgery'' scheme by the BOCW Welfare Board, Labour Dept.,West Bengal, is a welfare scheme that provides medical expenses for the treatment of beneficiary or his/ her dependents suffering from Cancer, Heart disease, Kidney disease, T.B. etc.",,,metfmaiswb,"['Labour', 'Building Worker', 'Construction Worker', 'Treatment', 'Ailments', 'Surgery', 'Medical Expenses']",Search
Medical Expenses for Treatment of Major Ailments of a Beneficiary,,['Health & Wellness'],"The Manipur Building and Other Construction Workers' Welfare Board provides financial support for the treatment of serious illnesses such as Tuberculosis, Cancer, Heart Disease, Kidney Disease, and more, for building workers and their family members. ",,,metmab,"['Financial Assistance', 'Medical Treatment', 'Construction Worker', 'Disease']",Search
Mentally Retarded Children Benefit Scheme (HPBOCWWB),,"['Women and Child', 'Health & Wellness']","In the scheme ""Mentally Retarded Children Benefit"" by the Himachal Pradesh Building and Other Construction Workers Welfare Board, an amount of ₹20,000/- per annum is provided to the registered workers to take care of their mentally retarded/disabled children.",,,mrcbshpbocwwb,"['Construction', 'Building', 'Labour', 'Child', 'Financial Assistance', 'Worker', 'Disability']",Search
Mentally Retarded Children Benefit Scheme (P.B.O.C.W.W.B),,['Health & Wellness'],"The ""Mentally Retarded Children Benefit Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides financial assistance for the care of mentally retarded children (son/daughter) of construction workers.
",,,mrcbspbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Mentally Retarded', 'Children']",Search
Pradhan Mantri Surakshit Matritva Abhiyan,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Women and Child']","The scheme aims to provide fixed-day assured, comprehensive and quality antenatal care universally to all pregnant women in 2nd and 3rd trimester on the 9th of every month. It offers free comprehensive antenatal care services at government health facilities.",,,pmsma,"['Maternal', 'Health', 'Antenatal', 'Pregnancy', 'Government', 'Women', 'Medical']",Search
Prime Minister's Award for Yoga,Ministry Of Ayush,['Health & Wellness'],The purpose of the Award is to recognize and felicitate individual(s)/ organization(s) who have made a significant impact on society for a sustained period by way of promotion and development of Yoga,,,pmafy,"['Yoga', 'Award', 'Health', 'International', 'National']",Search
Procedure for Making Medical Certificate (for Certifying Disability),,['Health & Wellness'],"The certificate aims to ensure that persons with disabilities can easily obtain authentic medical certification required to avail benefits under various social welfare schemes, including disability pensions, scholarships, healthcare facilities, and employment reservations.",,,pmmc,"['Medical Certificate', 'Disability', 'PwD', 'Disabled Person', 'Divyang']",Search
National Livestock Mission: Establishment of State Semen Bank ,"Ministry of Fisheries,Animal Husbandry and Dairying","['Agriculture,Rural & Environment', 'Health & Wellness']","""Establishment of State Semen Bank (Genetic Improvement of Sheep and Goat breeds)"" aims at the genetic improvement of sheep/goat breeds through selective breeding by propagation of superior male germplasm through artificial insemination. ",,,essb,"['Gene', 'Sheep', 'Goat', 'Buffalo', 'Semen', 'Bank']",Search
National Youth Award ,Ministry Of Youth Affairs & Sports,"['Health & Wellness', 'Public Safety,Law & Justice', 'Social welfare & Empowerment', 'Travel & Tourism']",This award is to motivate young persons to achieve excellence in the field of national development or social service and to develop in them a sense of responsibility to the community and thus to improve their potential as good citizens.,,,nya,"['Youth', 'Purashkar', 'National', 'Social Service', 'Good Citizens']",Search
Poshan Sudha,,"['Health & Wellness', 'Women and Child']","This scheme is a government initiative to provide nutrition and healthcare support to pregnant and lactating mothers in tribal districts of Gujarat.

",,,psgg,"['Pregnant Women', 'Child', 'Nutritional Support']",Search
Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Ministry Of Chemicals And Fertilizers,"['Business & Entrepreneurship', 'Health & Wellness', 'Skills & Employment', 'Social welfare & Empowerment']","Pradhan Mantri Bhartiya Janaushadhi Pariyojana was launched by the Department of Pharmaceuticals, in November 2008. Under the scheme, dedicated outlets known as Janaushadhi Kendras are opened to make quality generic medicines available to all at affordable prices.",,,pmbjp,"['Medicine', 'Pharmaceutical', 'Healthcare', 'Entrepreneur', 'Janaushadhi', 'Generic Drugs']",Search
Pradhan Mantri Garib Kalyan Package : Insurance Scheme For Health Workers Fighting COVID-19,Ministry Of Health & Family Welfare,['Health & Wellness'],"The scheme aims to provide financial protection through insurance cover of ₹50,00,000/- to healthcare workers fighting COVID-19.
",,,pmgkp,"['Life Insurance', 'Health Workers', 'COVID-19']",Search
PM Janjati Adivasi Nyaya Maha Abhiyan (PM JANMAN),Ministry Of Tribal Affairs,"['Housing & Shelter', 'Utility & Sanitation', 'Health & Wellness', 'Education & Learning']","The scheme aims to improve the socio-economic status of PVTGs by saturating families and habitations with basic facilities and services. It provides 11 critical infrastructure and welfare interventions, including housing, water, electricity, and connectivity.",,,pm-janman,"['Tribal', 'PVTG', 'Infrastructure', 'Housing', 'Health', 'Education', 'Livelihood', 'Skilling']",Search
PM-Special Training of Geriatric Caregivers,Ministry Of Social Justice and Empowerment,"['Skills & Employment', 'Health & Wellness']","The scheme aims to train and create a professional cadre of geriatric caregivers to meet the increasing demand for specialized care for senior citizens. It offers skill development and certification in geriatric care job roles to Indian citizens, ensuring professional services for the elderly.",,,pmstgc,"['Training', 'Skill', 'Health', 'Certification']",Search
PM POSHAN - Prime Minister's Overarching Scheme For Holistic Nourishment,Ministry of Education,"['Health & Wellness', 'Social welfare & Empowerment']","PM POSHAN is a centrally sponsored scheme by the Department of School Education & Literacy, Ministry of Education. Under this scheme, one hot cooked meal will be provided to the children studying in Government and Government – aided schools. The Scheme is implemented by the Ministry of Education.",,,pm-poshan,"['School', 'Children', 'Health', 'Govt Scheme', 'Nutrition India']",Search
PURNA Scheme,,"['Health & Wellness', 'Women and Child', 'Education & Learning']","The scheme aims to reduce malnutrition, anemia, and early marriage among adolescent girls in Gujarat by educating them on health, nutrition, life skills, and legal rights, while promoting self-empowerment through various activities.",,,psg,"['Adolescent Girls', 'Nutrition', 'Vocational Training', 'Child Health', 'Malnutrition', 'Early Education']",Search
Pada Pushti Karyakram,,"['Women and Child', 'Health & Wellness']","The scheme aims to ensure access to supplementary nutrition by all children, residing in hard-to-reach villages where there is no Anganwadi centers. This programme is functioning as an extension of respective Anganwadi Centers in the hard-to-reach villages.",,,ppk,"['Supplementary Nutrition', 'Hard-to-Reach Village', 'Preschool Children', 'Meals', 'Anganwadi Center']",Search
Rastriya Arogya Nidhi - Health Minister’s Cancer Patient Fund,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme-component aims to provide financial assistance to poor patients living below the poverty line and suffering from cancer, for their treatment at 27 Regional Cancer Centers (RCCs).",,,hmcpf,"['BPL', 'Cancer Treatment', 'Patient']",Search
Rehabilitation Treatment For The Disabled,,"['Social welfare & Empowerment', 'Education & Learning', 'Health & Wellness']","The government of Meghalaya provides rehabilitation treatment for persons with disabilities under the ""Disability Rehabilitation Scheme"". ",,,rtfd,"['Medical Treatment', 'Assistive Devices', 'Rehabilitation Services', 'Training', 'Education']",Search
Rehabilitation Allowance To Lepers,,['Health & Wellness'],The Himachal Pradesh Rehabilitation Allowance to Lepers is a social welfare scheme initiated by the Government of Himachal Pradesh in India to provide financial assistance to people affected by leprosy.,,,ral,"['Rehabilitation Allowance', 'Lepers', 'Monthly Allowance', 'DBT', 'Himachal Pradesh']",Search
Reimbursement of Expenditure for Occupational Diseases (P.B.O.C.W.W.B),,['Health & Wellness'],"The ""Reimbursement of Expenditure for Occupational Diseases'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that provides reimbursement of expenditure incurred by the beneficiaries and their dependents for the treatment of 16 dangerous ailments.",,,reodpbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Occupational Diseases', 'Health', 'Operation']",Search
Rules Related to Madhya Pradesh State Disease Assistance Fund,,['Health & Wellness'],"The scheme provides financial assistance ranging from ₹25,000 to ₹2,00,000 to Below Poverty Line (BPL) patients for major surgeries and treatments related to specified serious diseases.",,,aflbplsdrf,"['Financial Assistance', 'Medical Treatment', 'Disease', 'Below Poverty Line']",Search
Rural Sports and Health Promotion Scheme,,"['Health & Wellness', 'Sports & Culture']","The scheme promotes fitness among rural youth by providing financial assistance to the mangal dals for setting up open gyms in each Gram Panchayat. Financial assistance of ₹17,960/- is allocated per gram panchayat for installing open gym/community fitness equipment to encourage fitness & well-being.",,,rsahps,"['Rural Sports', 'Health Promotion', 'Sports Promotion', 'Youth', 'Mangal Dal', 'Open Gym']",Search
Safai Karmakar Bahay Rogi Chikitsa Sahayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Safai Karmakar Bahay Rogi Chikitsa Sahayata Yojana"" for unorganized worker on 11 March 2015.",,,skbrcsy,"['Financial Assistance', 'Health', 'Wellness']",Search
Safai Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Safai Karmakar Gambhir Bimari Chikitsa Sahayata Yojana"" for unorganized worker on 28 April 2012.",,,skgbcsy,"['Medical Treatment', 'Financial Assistance', 'Serious Illness', 'Health & Wellness']",Search
Promotion of Institutional Delivery,,"['Women and Child', 'Health & Wellness']","The scheme aims to promote safe and institutional deliveries by providing free accommodation to pregnant women, especially from disaster-prone areas, near district hospitals.",,,piduk,"['Mother', 'Newborn', 'Childcare', 'Pregnant Woman', 'Institutional Delivery']",Search
RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen,Ministry Of Defence,['Health & Wellness'],"A scheme to provide financial assistance to a non-pensioner Ex-Servicemen/widows of ranks up to Havildar/equivalent to meet routine medical expenses.
",,,rmewf,"['Ex-Servicemen', 'Health Checkup', 'Medical Expenses', 'Health Treatment', 'Widow Of Ex-Servicemen']",Search
Rajasthan Chief Minister's Relief Fund - Medical Help,,['Health & Wellness'],Rajasthan Chief Minister’s Relief Fund – medical help scheme launched on April 1999 under Chief Minister’s Relief Fund in Rajasthan for Individual for Non BPL whose family income should be at least 2lakhs per annum.,,,rcmrf-mh,"['Medical Help', 'Non BPL', 'Relief Fund', 'Rajasthan Scheme', 'Hospital']",Search
Rastriya Arogya Nidhi - Health Minister’s Cancer Patient Fund,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme-component aims to provide financial assistance to poor patients living below the poverty line and suffering from cancer, for their treatment at 27 Regional Cancer Centers (RCCs).",,,hmcpf,"['BPL', 'Cancer Treatment', 'Patient']",Search
Mukhyamantri Sampoorna Pushti Yojana: Adolescent Girls Nutrition,,"['Women and Child', 'Health & Wellness']","The scheme aims to enhance nutritional support for all adolescent girls aged 15 -19 years across the state. However, in the 10 Aspirational Districts, the coverage is limited to girls aged 18 -19 years.",,,samproonapushtiagn,"['Adolescent Girls', 'Daily Ration', 'Nutrition', 'Anaemia Screening', 'Supplementary Nutrition']",Search
Mukhyamantri Sampoorna Pushti Yojana: Nutrition for Severely Underweight and Moderately Acute Malnourished Children (3 years - 6 years),,"['Health & Wellness', 'Women and Child']","The scheme aims to improve child nutrition outcomes, with a specific focus on providing nutritional support to Severely Underweight (SUW) and Moderately Acute Malnourished (MAM) children aged between 3 years and 6 years.",,,mspynsuwmamc3y6y,"['Nutrition', 'Severely Underweight', 'Moderately Acute Malnourished', 'Malnourished Children', 'Underweight Children', 'SUW', 'MAM']",Search
Mukhyamantri Sampoorna Pushti Yojana: Purna Aahaara for Children (6 months - 5 years),,"['Women and Child', 'Health & Wellness']","The scheme aims to provide nutritional support to Severely Acute Malnourished (SAM) children. Under the scheme, eligible beneficiaries are provided Take Home Ration (THR) of 3 kg per month, along with 30 eggs per month, for a duration of 112 days.",,,purnaaaharaod,"['Malnutrition', 'Acute Malnutrition', 'Take Home Ration', 'Nutrition', 'Childcare']",Search
Mukhyamantri Sampoorna Pushti Yojana: Nutrition for Severely Underweight and Moderately Acute Malnourished Children (6 months - 3 years),,"['Health & Wellness', 'Women and Child']","The scheme aims to improve child nutrition outcomes, with a specific focus on providing nutritional support to Severely Underweight (SUW) and Moderately Acute Malnourished (MAM) children aged between 6 months and 3 years.",,,nutritionsuwandmamod,"['Nutrition', 'Severely Underweight', 'Moderately Acute Malnourished', 'Malnourished Children', 'Underweight Children', 'SUW', 'MAM']",Search
